DFIRM_ID,Version_ID,FloodAreaID,StudyType,FloodZone,ZoneSubtype,SFHA_TF,SourceCitation,ZoneDescription,AdoptedDate,GlobalID,OBJECTID,Shape__Area,Shape__Length
47037C,1.1.1.0,47037C_192,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,4e16e493-eaac-4598-9009-6c3e2e2b2407,30,7005.50646972656,542.936889148392
47037C,1.1.1.0,47037C_193,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,78bc1b2c-8eac-41de-96b6-e6f48ee9eba6,31,526.348022460938,311.874086472861
47037C,1.1.1.0,47037C_194,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,ddaed7c5-2511-468d-a39d-30fe5e41288e,32,704.920043945312,233.434949945623
47037C,1.1.1.0,47037C_195,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,f8dbd428-9a95-46be-aee2-fc604a5d1938,33,13027.3699951172,759.148974524006
47037C,1.1.1.0,47037C_196,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,918b506d-7a48-481d-a060-8746cff6edb3,34,93827.5916748047,2083.25030434056
47037C,1.1.1.0,47037C_197,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,9157360b-1835-49bf-9171-fd912f6f4bbf,35,9.681396484375,43.1373915615818
47037C,1.1.1.0,47037C_262,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,be9390c0-219e-4531-8c3c-9accb07ecf67,36,7.730224609375,12.955162986542
47037C,1.1.1.0,47037C_263,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,feeed789-5747-4332-9271-a2273b3b18a9,37,8.715576171875,13.550611505028
47037C,1.1.1.0,47037C_264,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,63da30b0-1c18-4edf-b611-5aacf451668c,38,244371.45703125,7098.8435845047
47037C,1.1.1.0,47037C_273,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,2ad88ac9-37e9-465d-947e-3d46f672e0a4,39,8.1373291015625,12.9084313881153
47037C,1.1.1.0,47037C_274,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,a9ee0967-56bc-4558-bf51-fbf1e91ae5b3,40,18446.3061523438,2360.39851450071
47037C,2.5.3.0,47037C_889,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,ad008be3-8de8-4937-8d49-472e8ca44fd2,41,12162.9030151367,1131.73518706052
47037C,2.5.3.0,47037C_904,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,e8cd2e6a-8775-43ff-85ca-b21f813ae6c2,42,89548.2601928711,3557.91817115647
47037C,2.5.3.0,47037C_909,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,10ec1d38-7643-43e2-ac30-7e10036ab709,43,60217.8872070312,2132.49066573554
47037C,2.5.3.0,47037C_910,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,ad71dd83-11a5-4068-954f-94d79c99f3eb,44,241599.989074707,6771.19726862267
47037C,2.5.3.0,47037C_913,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,34a5a8e5-41ae-4f55-b1b8-df54278c1fd2,45,3133.87536621094,525.820932054159
47037C,2.5.3.0,47037C_917,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,805d11ad-7626-47a9-9a76-f4bb51866c51,46,49374.4671020508,1619.01906021455
47037C,2.5.3.0,47037C_929,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,84ecbf77-a861-4835-b273-2e1a9c952e59,47,22018.3394775391,2135.95120404014
47037C,2.5.3.0,47037C_930,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,e56bece6-f213-43b7-8a6f-49d00c256f64,48,205943.482788086,5472.32459748505
47037C,2.5.3.0,47037C_933,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,f428b1f1-30ff-487d-a0e3-e62ff58a216d,49,14.781494140625,21.7762622148085
47037C,2.5.3.0,47037C_934,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,ed65f6b4-cef8-404a-bf34-d1877e6d2093,50,13236.3591918945,1206.53296946026
47037C,2.5.3.0,47037C_939,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,7a0c7d95-96e6-4ef1-b73c-5619996ef37c,51,11.3203735351562,15.3804547247266
47037C,2.5.3.0,47037C_941,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,88d6001b-00cb-49dd-9e2b-e1368d78b065,52,87267.0617675781,4617.34188167036
47037C,2.5.3.0,47037C_942,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,e7c4d560-4f7c-4f58-8968-89c125268ebe,53,10777.9294433594,1148.10798346077
47037C,2.5.3.0,47037C_943,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,66c63876-7d7d-4f2b-a3e6-61a5899b2133,54,96876.220703125,2752.81475969923
47037C,2.5.3.0,47037C_944,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,1c3c317a-f186-458a-8806-ffe41ad07e30,55,173066.924682617,8005.94952789554
47037C,2.5.3.0,47037C_945,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,557592ea-39db-4c90-ac9c-b32a1ffa2bb4,56,268973.017578125,5540.52847120351
47037C,2.5.3.0,47037C_946,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,4091a5f6-e458-427e-a282-a0d43b6f9e30,57,5622.8974609375,648.820770641958
47037C,2.5.3.0,47037C_947,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,7f2ce46a-7a66-44f3-b2b0-0e8b2100f0c8,58,24338.7907714844,1106.59018586423
47037C,2.5.3.0,47037C_950,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,fa3c77d9-0691-4ce4-98eb-c42c5a9ebbdb,59,244.763916015625,95.5447291162886
47037C,2.5.3.0,47037C_951,SFHA with BFE and floodway,AE, ,T,47037C_STUDY2,100-Year Floodplain,2024/06/20 00:00:00+00,c6cfb690-612d-4788-ab4a-d7a178c4d310,60,10754.7646484375,853.88162762552
47037C,1.1.1.0,47037C_1433,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,bf371983-a00e-4a4a-ae7d-e81f9b5b1fd7,61,52565.4833984375,1669.79512312027
47037C,1.1.1.0,47037C_1434,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,a36196a0-f956-4f79-84e2-8af57d4262bf,62,68.1068115234375,73.1878531821385
47037C,1.1.1.0,47037C_1435,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,1d11cbc2-1304-4e19-ba77-f6854f527a26,63,6.482177734375,14.4386593169879
47037C,1.1.1.0,47037C_1436,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,71a80aae-d66b-4680-add7-e2590a998a4c,64,7.6292724609375,12.3401194174149
47037C,1.1.1.0,47037C_1437,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,e893d610-44c0-4659-b154-fd18c885e268,65,28.155517578125,20.4340623908547
47037C,1.1.1.0,47037C_1438,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,97c3fafd-de90-4914-8312-f0189ac79b9b,66,3.213134765625,8.51653492648394
47037C,1.1.1.0,47037C_1439,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,10c425f4-4eff-4c0d-b96f-afd75d1167ca,67,72703.85546875,4799.48606590502
47037C,1.1.1.0,47037C_1440,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,fd11e423-3fc0-416a-960e-6b85568e4808,68,1.6947021484375,9.26287900520638
47037C,1.1.1.0,47037C_1441,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,ca3dd276-d27b-4882-9173-bdab7dc017b3,69,40240.2347412109,1629.74914645097
47037C,1.1.1.0,47037C_1471,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,e34ab6c1-710d-48a3-8f78-5f9f632fac06,70,9009.19799804688,819.239305227516
47037C,1.1.1.0,47037C_1472,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,812e9fb8-3cc4-4a43-8ed8-b0e876270a4e,71,7412.65441894531,749.271102445464
47037C,1.1.1.0,47037C_1473,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,465b3073-b25d-4e32-b6c5-281f614309a5,72,1082.50439453125,192.5429953168
47037C,1.1.1.0,47037C_1505,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,d3996a7e-28e3-4c21-b6d0-0ebfb80c3256,73,14920.4262695312,1340.05648318061
47037C,1.1.1.0,47037C_1506,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,051ddf93-8fcd-467b-8557-0518ec8dc6c7,74,2.5562744140625,12.2899669420362
47037C,1.1.1.0,47037C_1507,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,64a792f2-68d0-45b0-9556-9154237f1f39,75,37222.8713378906,1973.89654118332
47037C,1.1.1.0,47037C_1508,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,f7eb96c2-e78f-476c-b532-c77bbaa3a38a,76,17068.0902099609,1192.12690736232
47037C,1.1.1.0,47037C_1509,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,97f82583-c11d-4670-9845-11c9bb281ee2,77,2648.20373535156,381.092128755417
47037C,1.1.1.0,47037C_1888,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,6160f9e9-8b22-4a09-a652-4fcd7b6052ac,78,120549.946044922,3388.51808846557
47037C,1.1.1.0,47037C_1919,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,033bc718-8e67-464f-b90f-06f8fc0293fd,79,4.8306884765625,9.95022718755141
47037C,1.1.1.0,47037C_1920,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,e02a6baf-f71d-47dd-a3b8-92859400ee1d,80,6.560791015625,11.2303685402589
47037C,1.1.1.0,47037C_1921,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,4d86f4ba-1df9-4bdf-951f-cfe8d9a97496,81,673322.449829102,16080.8018304557
47037C,1.1.1.0,47037C_1952,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,2bebc4d3-378b-414b-acb5-3d57e5051a2d,82,191.2841796875,222.235489428139
47037C,1.1.1.0,47037C_1953,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,dd8c6b54-5ee4-4530-836a-2e5122886141,83,110.928466796875,108.470517598164
47037C,1.1.1.0,47037C_1954,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,0a993a0d-623b-4972-9d49-42a3e2d38a8d,84,86.8758544921875,108.967683989175
47037C,1.1.1.0,47037C_1962,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,3fd0d649-9323-4a5c-ae29-042469268c71,85,481.25390625,125.987552854622
47037C,1.1.1.0,47037C_1963,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,08a05109-8c16-4e5e-a063-db491020eaf3,86,2.5650634765625,11.2657686226861
47037C,1.1.1.0,47037C_1964,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,f3859177-34dd-4709-8537-a87cd616fca4,87,13.4232177734375,38.6029665534293
47037C,1.1.1.0,47037C_1965,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,bd2a9a05-750a-4608-9c59-0262b649ce82,88,4631.16577148438,587.691893976398
